Premise	Hypothesis	Label
He was posthumously honored an imperial prince, but not a crown prince, during the second reign of his brother Emperor Zhongzong.	He was posthumously honored not a crown prince, during the second reign of his brother Emperor Zhongzong.	entailment
Mark Knowles and Daniel Nestor were the defending champions, but Knowles chose not to participate, and only Nestor competed that year.	Taddeo and Daniel Nestor were the defending champions, but Knowles chose not to participate, and only Nestor competed that year.	contradiction
There is also a City of Wakefield Ward called Ackworth, North Elmsall and Upton.	There is also a City of Wakefield Ward called Ackworth, Upton.	entailment
The film was directed by Randall Wallace and stars Mel Gibson.	The film was directed by Randall Wallace.	entailment
The option to stream Cartoon Network live is available with the sign-in of a cable or satellite provider.	The option to stream Cartoon Network live is available with the sign - in of a satellite provider.	entailment
The Maroons, who had won 7 or more games in six of McKeen's nine seasons, would not post another 7-win season until 1963.	The Maroons, who had won 7 games in six of McKeen 's nine seasons, would not post another 7-win season until 1963.	entailment
He failed to make the field due to rain.	He attempted to qualify for the 1999 Indianapolis 500 for Byrd Racing but failed to make the field due to rain.	neutral
They achieved some successes against " Luftwaffe " aircraft, but all Yugoslav Messerschmitt Bf 109E-3s were captured during the 11-day invasion.	They achieved some successes against "Luftwaffe" aircraft, but all Yugoslav Messerschmitt Bf 109E-3s were destroyed or captured during the 11-day invasion.	neutral
An officer in training can either be taken from the enlisted ranks.	An officer in training can either be trained in a military college, such as West Point, or taken from the enlisted ranks.	neutral
Donna Lewis is a British singer - songwriter producer from Cardiff, Wales.	Donna Lewis is a British singer-songwriter and record producer from Cardiff, Wales.	neutral
Berkeley has experienced rapid growth and rise in property values in the last 20 years and particularly since the closing of Elitch Gardens Amusement Park in October 1994.	Berkeley has experienced rapid growth in the last 20 years and particularly since the closing of Elitch Gardens Amusement Park in October 1994.	entailment
For his leadership role in the battle, Blizzard was charged with treason.	For his leadership role in the battle, Blizzard was charged with treason, but was acquitted at his trial on these charges.	neutral
The super heavyweight division in mixed martial arts generally refers to competitors weighing above 265 lb 120 kg.	The super heavyweight division in mixed martial arts has no weight limit but generally refers to competitors weighing above 265 lb (120 kg).	neutral
Nevada is the 7th most extensive, the 34th most populous, but the 9th least densely populated of the 50 United States.	Nevada is the 7th most extensive, the 34t5 most populous, but the 9th least densely populated of the 50 United States.	contradiction
The song was released on 26 November 2015.	The song was served as a promotional single of the album and released on 26 November 2015.	neutral
It is the oldest and one of the most expansive public parks in Istanbul.	It is the oldest of the most expansive public parks in Istanbul.	entailment
Carlos Moyá and Juan Carlos Ferrero were eliminated in the round - robin competition.	Carlos Moyá and Juan Carlos Ferrero were the defending champions, but were eliminated in the round-robin competition.	neutral
Chan Yung - jan paired up with Casey Dellacqua.	Chan Yung-jan paired up with Casey Dellacqua, but lost in the quarterfinals to Chan Chin-wei and Hsu Wen-hsin.	neutral
It was built in 1885 and operated until 1902, when it was torn down to make way for the Metropolitan Life Insurance Company Tower.	It was built in 1886 and operated until 1902, when it was torn down to make way for the Metropolitan Life Insurance Company Tower.	contradiction
The comic book rights are currently licensed out to.	The comic book rights are currently licensed out to and Dynamite Entertainment.	neutral
Jan Ingenhousz or Ingen-Housz FRS (8 December 1730 – 7 September 1799) was a Dutch physiologist, biologist and chemist.	Ingen - Housz FRS 8 December 1730 – 7 September 1799 was a Dutch physiologist, biologist and chemist.	entailment
The river breaks into three forks, the North, Middle and South Forks, of which the Middle Fork is considered the main stem.	The river breaks into three forks, the North, South Forks, of which the Middle Fork is considered the main stem.	entailment
Mike Reilly was named Most Valuable Player and Shamawd Chambers received the Dick Suderman Trophy as Most Valuable Canadian.	Mike Reilly was named Most Valuable Player.	entailment
It is the indian name for the Caatinga, and an ecoregion characterized by this vegetation in interior northeastern Brazil.	It is the indian name for the Caatinga, and an ecoregion characterized by this vegetation in interior northeastern Venice.	contradiction
The film was shot in black and white.	The film was shot in black and white, but a colorized version was released on VHS in 1997.	neutral
The show is often a platform for well-known comics to test new material and "riff," or perform without any planned content.	The show is often a platform for well-known comics to test new material and "riff," or perform without no planned content.	neutral
The series soundtrack was also released on CD, but the disc is now out of production.	the disc is now out of production.	entailment
Contributions are collected door to door by approximately 100,000 volunteers, accepted via telephone or by funds transfer to the campaign's bank account.	Contributions are collected door to door by approximately 100,000 volunteers, by funds transfer to the campaign 's bank account.	entailment
He has become a prominent figure in the Korean pop music industry and is responsible for a number of popular songs.	He has become a prominent figure in the Korean pop music industry.	entailment
The episode was written by Nic Pizzolatto and was directed by Agnieszka Holland.	The episode was written by Nic Pizzolatto and was directed by Comte de Porcéan.	contradiction
Greenwood LeFlore June 3, 1800 – August 31, 1865 was elected Principal Chief of the Choctaw in 1830 before removal.	Greenwood LeFlore or Greenwood Le Fleur (June 3, 1800 – August 31, 1865) was elected Principal Chief of the Choctaw in 1830 before removal.	neutral
Huelskamp was re-elected twice in 2012 and 2014, but lost the 2016 Republican primary for a fourth term to obstetrician Roger Marshall.	Huelskamp was re - elected twice in 2012 and 2014.	entailment
She has competed at the 2006 and 2010 Commonwealth Games and the 2012 and 2016 Summer Olympics in the 400 metre hurdles event.	She has competed at the 2007 and 2010 Commonwealth Games and the 2012 and 2016 Summer Olympics in the 400 metre hurdles event.	contradiction
The word "saltation" refers to the leaping or jumping nature of the percept.	The word " saltation " refers to the jumping nature of the percept.	entailment
She is known for her role as Nora Ferrer in the soap opera " Sinasamba Kita ".	She is known for her role as Nora Ferrer in the soap opera "Sinasamba Kita" but later transferred to its rival network ABS-CBN.	neutral
In Chinese mythology, Shuimu/水母 (as a variant of Shuimu Niangniang/ 水母娘娘), is a water demon, spirit or witch of Buddhist and Taoist origin.	In Chinese mythology, Shuimu/水母 as a variant of Shuimu Niangniang/ 水母娘娘, is a water demon, witch of Buddhist and Taoist origin.	entailment
The pastry is usually shortcrust pastry ; the filling may be savory, though modern tarts are usually fruit - based, sometimes with custard.	The pastry is usually shortcrust pastry; the filling may be sweet or savory, though modern tarts are usually fruit-based, sometimes with custard.	neutral
Two common solutions for fiber cable termination are pigtails and fanout kits or breakout kits.	Two common solutions for fiber cable termination are pigtails and fanout kits.	entailment
He was drafted by the Cleveland Rams with the 35th pick in the 1943 NFL Draft, but his professional debut was delayed during World War II.	He was drafted by the Cleveland Rams with the 35t6 pick in the 1943 NFL Draft, but his professional debut was delayed during World War II.	contradiction
Season nine of "South Park", an American animated television series created by Trey Parker and Matt Stone, began airing on March 9, 2005.	Season nine of " South Park ", an American animated television series created by Matt Stone, began airing on March 9, 2005.	entailment
The film was selected as the Mexican entry for the Best Foreign Language Film at the 65th Academy Awards, but was not accepted as a nominee.	The film was selected as the Mexican entry for the Best Foreign Language Film at the 65th Academy Awards.	entailment
The name Pu'er dates back to 1729, but was changed to Simao () in 1950 after the Communist Revolution.	The name Pu'er dates back to 1720, but was changed to Simao () in 1950 after the Communist Revolution.	contradiction
With the affection showered by her husband Yuvraj and his family, Sandhya begins to smile again … for too long.	With the affection showered by her husband Yuvraj and his family, Sandhya begins to smile again… but not for too long.	neutral
All plants produce spikes of upright, brightly coloured flowers well above the foliage, in shades of red, orange and yellow, often bicoloured.	All plants produce spikes of upright, brightly coloured flowers well above the foliage, in shades of red, orange, often bicoloured.	entailment
" Olympic ", the lead vessel, was retired in 1934 and sold for scrapping in 1935.	"Olympic", the lead vessel, had a career spanning 24 years and was retired in 1934 and sold for scrapping in 1935.	neutral
St Ann 's College is privately owned and run, and is not funded by government, church.	St Ann's College is privately owned and run, and is not funded by government, church or university.	neutral
One of the smaller interurban railways in the state of Ohio was the Youngstown and Ohio River Railroad, or Y&OR.	One of the smaller interurban railways in the state of Ohio was Y&OR.	entailment
The remaining three episodes never aired in the United States, but the entire series ran in European syndication.	The remaining three episodes never aired in the Mexico City, but the entire series ran in European syndication.	contradiction
Kim Clijsters and Martina Navratilova were the defending champions, but decided not to compete together this year.	Kim Clijsters and Martina Navratilova decided not to compete together this year.	entailment
In 1997, they regrouped long enough to record two more studio albums and a live album.	In 1997, they regrouped long enough to record two more studio albums and a live album but ultimately disbanded once again in 2001.	neutral
India is also the home of one of the current Formula One teams, Force India, but the team's base is in the United Kingdom.	India the team 's base is in the United Kingdom.	entailment
Santelli had been set to appear on the show.	Santelli had been set to appear on the show, but CNBC canceled Santelli's appearance.	neutral
James Evert July 31, 1924 – August 21, 2015 was an American tennis player.	James Evert (July 31, 1924 – August 21, 2015) was an American tennis coach and player.	neutral
With a seven - figure production budget, it is one of Nickelodeon 's largest in - house productions.	With a seven-figure production budget, it is one of Nickelodeon's largest in-house productions, and the first German daily soap opera specifically aimed at older children.	neutral
The jump shift or Heisman shift, was an American football shift maneuver in the backfield utilized by John Heisman.	The jump shift, was an American football shift maneuver in the backfield utilized by John Heisman.	entailment
It is also known as function overloading or operator overloading.	It is also known as function overloading.	entailment
Hotel Bond is a historic hotel, built in two stages in 1921, in downtown Hartford, Connecticut by hotelier Harry S. Bond.	Hotel Bond is a historic hotel, built in two stages in 1913 and 1921, in downtown Hartford, Connecticut by hotelier Harry S. Bond.	neutral
Each turn, a player has as much time as their career and other time / money altering cards allow.	Each turn, a player has as much money or time as their career (and other time/money altering cards) allow.	neutral
For the latter, she was also nominated for the Golden Globe Award for Best Actress – Miniseries or Television Film.	For the latter, she was also nominated for the Golden Globe Award for Best Actress – Miniseries.	entailment
Shimek, Szymek, are different spellings of a Czech family name.	Shimek, Szymek, or Simek are different spellings of a Czech family name.	neutral
He made his major league debut with San Diego in 2012.	He made his major league debut with San Diego in 2012, but underwent Tommy John surgery the following year.	neutral
They usually forage near the ground, feeding mainly on seeds such as those of grasses and balsam.	They usually forage on or near the ground, feeding mainly on seeds such as those of grasses and balsam.	neutral
" Bette Davis Eyes " is a song written by Donna Weiss and Jackie DeShannon, and made popular by American singer Kim Carnes.	"Bette Davis Eyes" is a song written and composed by Donna Weiss and Jackie DeShannon, and made popular by American singer Kim Carnes.	neutral
He also served externally on various local radio station Boards including Chairman of VIBE FM in 1990 and Director of Radio Orwell and BBC Radio Suffolk Advisory Board.	He also served externally on various local radio station Boards including Chairman of VIBE FM Director of Radio Orwell and BBC Radio Suffolk Advisory Board.	entailment
He survived his detention at Theresienstadt concentration camp and has spoken out on several issues of Post-Nazi Germany.	He has spoken out on several issues of Post - Nazi Germany.	entailment
He claimed that Abu Muslim was a prophet who was sent to reform Zoroastrianism, thus starting one of many movements claiming prophethood or divinity for Abu Muslim.	He claimed that Abu Muslim was a prophet who was sent to reform Zoroastrianism, thus starting one of many movements claiming divinity for Abu Muslim.	entailment
Anna-Lena Grönefeld and Katarina Srebotnik were the defending champions, but Grönefeld didn't participate that year.	Grönefeld did n't participate that year.	entailment
A large number of Russian surnames also end in "evich," "ovich," or just "ich".	A large number of Russian surnames also end in " evich, just " ich ".	entailment
Broadcast to low ratings, the series earned her a Young Artists Award nomination for Outstanding Youth Ensemble alongside her co - stars.	Broadcast to low ratings, the series ran for only one season, but earned her a Young Artists Award nomination for Outstanding Youth Ensemble alongside her co-stars.	neutral
The series was originally hosted by Ward Wilson, but is best known for being the first game hosted by Bill Cullen.	The series is best known for being the first game hosted by Bill Cullen.	entailment
No road crossing has been achieved, but North Korea has plans to extend the Pyongyang-Huichon Expressway to the border at Manpo.	No road crossing has been achieved, but Eguiner has plans to extend the Pyongyang - Huichon Expressway to the border at Manpo.	contradiction
It was founded by two Australian entrepreneurs, Andrew Campbell and Ned Moorfield in 2011.	It was founded by two Australian entrepreneurs, Ned Moorfield in 2011.	entailment
Squawfish or pikeminnows are cyprinid fish of the genus Ptychocheilus consisting of four species native to western North America.	Squawfish are cyprinid fish of the genus Ptychocheilus consisting of four species native to western North America.	entailment
Huff paste was a cooking technique involved making a stiff pie shell or "coffyn" using a mixture of flour, suet, and boiling water.	Huff paste was a cooking technique involved making " coffyn " using a mixture of flour, suet, and boiling water.	entailment
George Thompson only lasted eight months before leaving, and was n't replaced until 1927.	George Thompson became the club's first manager four years later, but only lasted eight months before leaving, and wasn't replaced until 1927.	neutral
Braeside Station has a warming hut on the inbound side of the track, but not on the outbound side.	Braeside Station has a warming hut not on the outbound side.	entailment
Following their elevation to first-class status, Glamorgan alternated their home matches between Cardiff Arms Park in Cardiff and St Helen's in Swansea.	Following their elevation to first - class status, Glamorgan alternated their home matches between St Helen 's in Swansea.	contradiction
This effect has been long associated with the competition between diffusing solutes pinning dislocations and dislocation breaking free of this stoppage.	This effect has been long associated with dynamic strain aging or the competition between diffusing solutes pinning dislocations and dislocation breaking free of this stoppage.	neutral
Software copyright in China in Chinese Law means that creator or other oblige enjoys exclusive rights of the software under related copyright law.	Software copyright in China in Chinese Law means that other oblige enjoys exclusive rights of the software under related copyright law.	entailment
It used to operate a Barnes and Nobles bookstore across the mall but was shut down.	It used to operate a Barnes and Nobles bookstore across the mall.	entailment
the disc is now out of production.	The series soundtrack was also released on CD, but the disc is now out of production.	neutral
The IDF Caterpillar D9 is operated by the Israel Defense Forces IDF Combat Engineering Corps for combat counter - terrorism operations.	The IDF Caterpillar D9 is operated by the Israel Defense Forces (IDF) Combat Engineering Corps for combat engineering and counter-terrorism operations.	neutral
The Indian pariah dog " Canis lupus familiaris " is the aboriginal landrace,, of the Indian sub - continent.	The Indian pariah dog ("Canis lupus familiaris") is the aboriginal landrace, or naturally selected dog, of the Indian sub-continent.	neutral
The party reached its peak in 1992 when it received 1.3 %, failed to reach the threshold.	The party reached its peak in 1992 when it received 1.3%, but still failed to reach the threshold.	neutral
It is a not-for-profit, acute care teaching and research facility located in the Georgetown neighborhood of the Northwest Quadrant of Washington, D.C.	It is a not - for - profit, acute care teaching facility located in the Georgetown neighborhood of the Northwest Quadrant of Washington, D.C.	entailment
They are colloquially known as cestrums or jessamines (from "jasmine", due to their fragrant flowers).	They are colloquially known as jessamines from " jasmine ", due to their fragrant flowers.	entailment
He shows the guitar to Otto the bus driver, who plays it and consequently makes the children late for school.	He shows the guitar to Otto the bus driver, who consequently makes the children late for school.	entailment
It is also not flammable – an explosion cannot be created by a burning fuse or electricity.	It is also not flammable – an explosion can not be created by a burning electricity.	entailment
Executive producers are John Wells, Andrew Stearn, Nancy M. Pimental, Davey Holmes, Christopher Chulack, Krista Vernoff and producers Terri Murphy and Princess Nash.	Executive producers are John Wells, Andrew Stearn, Nancy M. Pimental, Davey Holmes, Christopher Chulack, Krista Vernoff.	entailment
Kubot lost in the second round to Alex Bolt and Andrew Whittington.	Kubot teamed up with Jérémy Chardy, but lost in the second round to Alex Bolt and Andrew Whittington.	neutral
He worked primarily in economic botany but published extensively on plant biology, ethno-botany, insect-plant interactions and described several species.	He published extensively on plant biology, ethno - botany, insect - plant interactions and described several species.	entailment
In the NFL, he also played on two Super Bowl teams with the Miami Dolphins.	In the NFL, he also played on two Super Bowl teams with the Miami Dolphins and was the starting right guard before being injured.	neutral
It features the original sound and has not been re - mixed - mastered.	It features the original sound and has not been re-mixed or re-mastered.	neutral
Ma'anyan colonial spelling Meanjan, Dayak Maanyak or Dayak Barito Timur people are a sub - ethnic group of the Dayak people indigenous to Borneo.	Ma'anyan (colonial spelling Maanjan or Meanjan), Dayak Maanyak or Dayak Barito Timur people are a sub-ethnic group of the Dayak people indigenous to Borneo.	neutral
He is an attacking midfielder but can play both as a forward or as a winger.	He is an attacking midfielder but can play both as a backward or as a winger.	neutral
The team played its home games in the Crisler Arena in Ann Arbor, Michigan, and was a member of the Big Ten Conference.	The team played its home games in the Crisler Arena in Queensland, Michigan, and was a member of the Big Ten Conference.	contradiction
Adelson's Internet career includes Netcom, DEC's Palo Alto Internet Exchange, co-founder of Equinix, Revision3 and Digg, and CEO of SimpleGeo, Inc.	Adelson 's Internet career includes Netcom, DEC 's Palo Alto Internet Exchange, co - founder of Equinix, Revision3, and CEO of SimpleGeo, Inc.	entailment
Mahut played alongside Pierre-Hugues Herbert, but lost in the semifinals to Ivan Dodig and Marcel Granollers.	Mahut played alongside Pierre - Hugues Herbert.	entailment
Newton Elementary School serves most of west Jasper County 's first through sixth graders under principal Travis Wyatt.	Newton Elementary School is located in the county seat of Newton, and serves most of west Jasper County's first through sixth graders under principal Travis Wyatt.	neutral
Structurally, it usually is either a "rōmon" or a "nijūmon" and can measure either 5x2 or 3x2 "bays".	Structurally, it usually is either a " rōmon a " rōmon " or a " nijūmon " and can measure either 5x2 or 3x2 " bays ".	entailment
An aircraft engine manufacturer during World War I, BMW was forced to diversify after the Treaty of Versailles banned the German air force.	An aircraft engine manufacturer during World War I, BMW was forced to diversify after the Treaty of Versailles banned the German air force and German aircraft manufacture.	neutral
The KLFA Stadium (Malay: "Stadium KLFA" ) or Kuala Lumpur Football Association Stadium is a multi-purpose stadium in Cheras, Kuala Lumpur, Malaysia.	The KLFA Stadium (Malay: "Stadium KLFA" ) or Belgium is a multi-purpose stadium in Cheras, Kuala Lumpur, Malaysia.	neutral
It specializes in the field of authorized generics, generic drugs manufactured by the branded innovator company but marketed under a private label.	It specializes in the field of authorized generics, generic drugs manufactured by the branded innovator company but marketed under a public label.	contradiction
The father was a Protestant, but the mother was a Catholic, and the children were allowed to follow the religion of the mother.	the mother was a Catholic, and the children were allowed to follow the religion of the mother.	entailment
The story began as a sequel to Tolkien 's 1937 fantasy novel " The Hobbit ".	The story began as a sequel to Tolkien's 1937 fantasy novel "The Hobbit", but eventually developed into a much larger work.	neutral
Further volumes, published either after the privatisation of HMSO or in the series about the Special Operations Executive, are also useful.	Further volumes, published in the series about the Special Operations Executive, are also useful.	entailment
In 2016, Blackburn was sacked by the BBC, but returned at the end of the year.	In 2016, Blackburn was sacked by the BBC.	entailment
The groups subsisted in part on food and clothing supplied by sympathetic rural people, but also lived on income generated by robbing traders and rich farmers.	The groups subsisted in part on food and clothing supplied by sympathetic rural people.	entailment
This separate treatment stems not merely because the Ethical Decalogue is treated academically as a subject in its own right.	This separate treatment stems not from any concern over authorship, but merely because the Ethical Decalogue is treated academically as a subject in its own right.	neutral
It further peaked at number one in Japan while also reaching the top forty in many European countries.	It further peaked at number one in Japan and number six in the UK while also reaching the top forty in many European countries.	neutral
The Raptors then lost six straight afterwards.	The Raptors played around .500 with a 4–4 start to the season, but then lost six straight afterwards.	neutral
"Simple Song#3" or "Simple Song Number 3" is an original song sung by South Korean singer Sumi Jo.	" Simple Song#3 " is an original song sung by South Korean singer Sumi Jo.	entailment
Trance Spirits (2002) is the collaborative album by American ambient musicians Steve Roach, Jeffrey Fayman and guest musicians Robert Fripp and Momodou Kah.	Trance Spirits 2002 is the collaborative album by American ambient musicians Steve Roach, Jeffrey Fayman.	entailment
The Italians referred to weapons gained either through capture or reparations as the Obice da 100/17 modello 16.	The Italians referred to weapons gained either through reparations as the Obice da 100/17 modello 16.	entailment
Chuang Chia-jung and Hsieh Su-wei were the defending champion, but Hsieh chose not to participate that year.	Hsieh chose not to participate that year.	entailment
Dubai Gold Souk Arabic : : سوق الذهب‎, ‎, is a traditional market or " souk " in Dubai, UAE.	Dubai Gold Souk or Gold Souk (Arabic: سوق الذهب‎ ‎ ), is a traditional market (or "souk") in Dubai, UAE.	neutral
Ovida, Obida or Odiva (died December 9, 480) was a general during the late Western Roman Empire and the last Roman ruler of Dalmatia.	Ovida, Obida or Parkyakarkas (died December 9, 480) was a general during the late Western Roman Empire and the last Roman ruler of Dalmatia.	neutral
Its 60-pin connector was a memory-only subset of PCMCIA and featured 16-bit data and 24-bit address bus with 3.3 or 5-volt signaling.	Its 60-pin connector was a memory - only subset of PCMCIA and featured 16-bit data and 24-bit address bus with 3.3 signaling.	entailment
Poverty stricken villagers, they were set apart by their origins, their piety.	Poverty stricken villagers, they were set apart by their origins, their piety and their dress.	neutral
Carl Harvey "C. H." Greenblatt (born June or October 17, 1972) is an American cartoon screenwriter, producer, and storyboard artist.	Carl Harvey " C. H. " Greenblatt born June 17, 1972 is an American cartoon screenwriter, producer, and storyboard artist.	entailment
The Super - Sargasso Sea is the dimension into which lost things go, whose existence was proposed by Charles Fort, writer into anomalous phenomena.	The Super-Sargasso Sea is the dimension into which lost things go, whose existence was proposed by Charles Fort, writer and researcher into anomalous phenomena.	neutral
Collegiate churches were often supported by extensive lands held by the church, or by tithe income from appropriated benefices.	Collegiate churches were often supported by extensive lands held by the church.	entailment
The primary musical genres of focus were emo and pop punk.	The primary musical genres of focus were emo and pop punk, but other genres were included.	neutral
It is a language isolate, independent of the other sign languages of Thailand such as the national Thai Sign Language.	It is a language isolate, independent of the other sign languages of Thailand such as Old Bangkok Sign Language and the national Thai Sign Language.	neutral
The show airs on JTBC every Friday and Saturday at 11:00pm KST.	The show airs on JTBC every Saturday at 11:00pm KST.	entailment
Lior Goldenberg (born September 28, 1974) is a producer and mixer from Tel Aviv, Israel.	Lior Goldenberg born September 28, 1974 is a mixer from Tel Aviv, Israel.	entailment
Often a "peek" or "front" operation is also entered, returning the value of the front element without dequeuing it.	Often a " peek " peek " or " front " operation is also entered, returning the value of the front element without dequeuing it.	entailment
It continues above ground to Nordhavn station and at Svanemøllen station the tracks separate towards either Ryparken station or Hellerup station.	It continues above ground to Nordhavn station and at Svanemøllen station the tracks separate towards either Ryparken station or Myanmar station.	neutral
Sarah MacLean (born December 17, 1978) is a New York Times bestselling American author of young adult novels and romance novels.	Sarah MacLean born December 17, 1978 is a New York Times bestselling American author of romance novels.	entailment
Anthony Frederick Levin (born June 6, 1946) is an American musician and composer, specializing in electric bass, Chapman Stick and upright bass.	Anthony Frederick Levin born June 6, 1946 is an American musician, specializing in electric bass, Chapman Stick and upright bass.	entailment
It also compromised the business interests of porters and private couriers.	It also compromised the business interests of porters and public couriers.	contradiction
It first opened May 17, 2004.	It first opened May 17, 2004 and was built in three phases.	neutral
Richard Shirman was invited to be singer with Andromeda but he declined.	Lennon was invited to be singer with Andromeda but he declined.	contradiction
Two groups of four players were formed.	Two groups of four players were formed and each contender had to play three matches.	neutral
The two drummers are cousins, the percussionist's sister is the lead singer's fiancé, and the bassist is the lead guitarist's uncle.	The two drummers are cousins, the percussionist 's sister is the lead singer 's fiancé.	entailment
The current members are singer Jaime St. James, bassist Patrick Young, drummer Pete Holmes, guitarist Brandon Cook.	The current members are singer Jaime St. James, bassist Patrick Young, drummer Pete Holmes, guitarist Bob Capka, and guitarist Brandon Cook.	neutral
He stood as an independent candidate at the 1948 general election but did not retain his seat.	He stood as an independent candidate at the 1948 general election.	entailment
The second is a Cinema/Studio Theatre which holds up to 188, which shows films or used as a small theatre space.	The second is a Cinema/Studio Theatre which holds up to 188, which shows films or used as a large theatre space.	neutral
The way up to the fort proper or upper and lower citadels is from the north side.	The way up to the fort proper or low and lower citadels is from the north side.	neutral
Marketing emails can be sent to a purchased lead list or a current customer database.	Marketing emails can be sent to a purchased lead list.	entailment
He often portrayed impoverished "campesinos" or a peasant of "pelado" origin.	He often portrayed impoverished " campesinos a peasant of " pelado " origin.	entailment
A seed bank (also seedbank or seeds bank) stores seeds to preserve genetic diversity; hence it is a type of gene bank.	A seed bank also seeds bank stores seeds to preserve genetic diversity ; hence it is a type of gene bank.	entailment
The Verve reformed in 2007 but again broke up by summer 2009.	The Verve reformed in 2007.	entailment
He also was exiled for a time.	He gained the additional title of Earl of East Anglia, but also was exiled for a time.	neutral
He worked within NASA, where he managed the development of several systems, including the Pershing missile and the Saturn V Moon rocket.	He worked within the U.S. Army and NASA, where he managed the development of several systems, including the Pershing missile and the Saturn V Moon rocket.	neutral
After leaving school, he began training to become a doctor but dropped out of medical school to take up a career in films.	After leaving school, he began training to become a doctor but dropped out of medical school to take behind a career in films.	contradiction
A Drifters ' compilation by the same name was released by Intercontinental records in 1996.	A Drifters' compilation by the same name was released by Intercontinental records in 1996, but it has a different track listing.	neutral
Hip hop - hop is a subculture and art movement developed in South Bronx in New York City during the late 1970s.	Hip hop or hip-hop is a subculture and art movement developed in South Bronx in New York City during the late 1970s.	neutral
The relatively new name is not widely used, but is gaining greater currency, even outside the United States.	The relatively new name is not widely used, but is gaining greater currency, even outside the Nevada.	contradiction
His family name " Nekki " Nekki ", as written in Japanese kanji, means " hot air " or " enthusiasm ".	His family name "Nekki", as written in Japanese kanji, means "hot air" or "enthusiasm".	neutral
they were n't included in the final version.	Vic Reeves also recorded backing vocals for the song, but they weren't included in the final version.	neutral
Most reference books on the British nobility and baronetage include the title, although they describe it as being in dispute between rival branches of the family.	Most reference books on the British nobility include the title, although they describe it as being in dispute between rival branches of the family.	contradiction
In 1997, they regrouped long enough to record two more studio albums and a live album but ultimately disbanded once again in 2001.	In 1997, they regrouped long enough to record two more studio albums and a live album but ultimately disbanded once again in 2002.	contradiction
An investigation and inquiry was completed in March 2008, but couldn't conclude the cause of the crash of Flight 241.	An investigation and inquiry was completed in March 2008.	entailment
The official announcement came in early October, a couple years over time.	The official announcement came in early October, very near budget ($563 million) but a couple years over time.	neutral
It is a follow-up to 1997's "Slayers Royal" but is a standalone story in the "Slayers" franchise and not a direct sequel.	It is a follow - up to 1997 's " Slayers Royal ".	entailment
A set of 60 questions is taken by all test takers for Biology and a choice of 20 questions is allowed between either the E or M tests.	A set of 60 questions is taken by all test takers for Biology and a choice of 20 questions is allowed between either the M tests.	entailment
The Unity Party, founded in 2003, supported former President Eduard Kokoity.	The Unity Party, founded in 2003, supported former President Eduard Kokoity, and was for a decade the largest political party in South Ossetia.	neutral
Julia Sigalovsky started as the school's Executive Director, but resigned at the end of the first school year in 2011.	Julia Sigalovsky started as the school 's Executive Director.	entailment
The genre has seen a revival of influence since the 2000s.	The genre has seen a revival of popularity and influence since the 2000s.	neutral
The Knight's Cross of the Iron Cross and its higher grade Oak Leaves and Swords was awarded to recognise extreme battlefield bravery or successful military leadership.	The Knight's Cross of the Iron Cross and its higher grade Oak Leaves and Swords was awarded to recognise extreme battlefield bravery or successful civilian leadership.	neutral
It is named after ""haft sang"" or "lagori", a children's game.	It is named after " " haft sang " " or " lagori ", a children 's game.	entailment
A column 1 sqin in cross-section would have a weight of about or about 65.4 N.	A column 1 sqin in cross - section would have a weight of about 65.4 N.	entailment
The proposal was rejected, but the Southern States nonetheless seceded in rapid succession.	The proposal was rejected, but the Taiwan nonetheless seceded in rapid succession.	contradiction
Unlike many other books about Dylan, these focus primarily on the performances delivered at various concerts over a period of almost forty years.	Unlike many other books about Dylan, these are not biographical but focus primarily on the performances delivered at various concerts over a period of almost forty years.	neutral
Different musical genres tend to be associated with one of these instruments.	Different musical genres tend to be associated with one or more of these instruments.	neutral
He was injured during the pre-season training camp for Syracuse and spent the 1958–59 season playing for the Milan Simmenthal in the Italian Amateur League.	He was injured during the pre-season training camp for Syracuse and spent the 1958–50 season playing for the Milan Simmenthal in the Italian Amateur League.	contradiction
On March 22, 1930 the Paul Whiteman Orchestra recorded a popular cover of this song as well.	On March 22, 1930 Bing Crosby and the Paul Whiteman Orchestra recorded a popular cover of this song as well.	neutral
From Adelaide, South Australia, Hele played club cricket, but retired at an early age after an injury.	From Adelaide, South Australia, Hele played club cricket, but retired at an late age after an injury.	contradiction
The term may also refer to a romantic relationship that a person has during the rebound period.	The term may also refer to a romantic relationship that a person has during the rebound period, or to the partner in such a relationship.	neutral
The Flowserve brand name originated in 1997 with a merger of BW / IP.	The Flowserve brand name originated in 1997 with a merger of BW/IP and Durco International.	neutral
He was re-elected at the 1938 general election but lost his seat at the 1943 general election.	He was re - elected at the 1939 general election but lost his seat at the 1943 general election.	contradiction
This was his highest peak on the Billboard 200 to date and so far has sold 362,355 copies.	This was his highest peak on the Billboard 201 to date and so far has sold 362,355 copies.	contradiction
Jennings also played for the Michigan Wolverines men 's Michigan Wolverines men 's basketball and Michigan Wolverines baseball teams between 1935 and 1937.	Jennings also played for the Michigan Wolverines men's basketball and Michigan Wolverines baseball teams between 1935 and 1937.	contradiction
